id,title,artist,danceability,decade,Track URI,Genre
SOZEFKS13E9053A6FB,Together Again,Janet Jackson,0.850136,1990s,http://dbpedia.org/resource/Together_Again_(Janet_Jackson_song),Electronic HipHop
SOFURWU13E84DE22BF,Return To Innocence,Enigma,0.209496,1990s,http://dbpedia.org/resource/Return_to_Innocence,Electronic
SOAKBWX13FB0DBF5ED,The Power,Snap!,0.691649,1990s,http://dbpedia.org/resource/The_Power_(Snap!_song),Electronic
SOSUYCA146225F6D2F,Doo Wop,Ms. Lauryn Hill,0.746213,1990s,http://dbpedia.org/resource/Doo_Wop_(That_Thing),HipHop
SOHYBUX144AD94F608,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,0.848041,1990s,http://dbpedia.org/resource/Gonna_Make_You_Sweat_(Everybody_Dance_Now),Electronic
SOKPGCQ144A482DA59,Flashdance...What a Feeling,Irene Cara,0.35483,1980s,http://dbpedia.org/resource/Flashdance..._What_a_Feeling,Electronic Stage&Screen
SOFCLUO13EA815DBA5,Another Brick In The Wall (Part 2),Pink Floyd,0.703746,1980s,http://dbpedia.org/resource/Another_Brick_in_the_Wall,Rock
SOXHGGG12AF72A738D,Every Breath You Take,The Police,0.820528,1980s,http://dbpedia.org/resource/Every_Breath_You_Take,Rock
SOPBXRX1375EE60098,Bette Davis Eyes,Kim Carnes,0.632752,1980s,http://dbpedia.org/resource/Bette_Davis_Eyes,Electronic
SOIXMJP13E907C7427,Billie Jean,Michael Jackson,0.920595,1980s,http://dbpedia.org/resource/Billie_Jean,Electronic Funk/Soul
SOSRHGC14122E25D21,Eye of the Tiger,Survivor,0.791527,1980s,http://dbpedia.org/resource/Eye_of_the_Tiger,Rock Stage&Screen
SOZGJLX13E907C9831,Careless Whisper,George Michael,0.547421,1980s,http://dbpedia.org/resource/Careless_Whisper,Rock Stage&Screen
SOAYOUZ13FAE3AB80E,Woman In Love,Barbra Streisand,0.592658,1980s,http://dbpedia.org/resource/Woman_in_Love,Pop
SOCLGNI127D9782C3E,Like A Prayer,Madonna,0.659557,1980s,http://dbpedia.org/resource/Like_a_Prayer_(song),Electronic Pop
